source_set,query,intent,us_volume,kd_percent,cpc_usd,serp_features,updated,source,database,metric_month,collected_on,evidence_class,notes
ownership-core,engineering activities for preschoolers,Informational,90,18,0.95,4,Now,Semrush Keyword Overview bulk refresh,United States desktop,August 2026,2026-08-04,TOOL_ESTIMATE,Close variants overlap; do not sum.
ownership-core,preschool engineering activities,Informational,30,16,0.95,5,Now,Semrush Keyword Overview bulk refresh,United States desktop,August 2026,2026-08-04,TOOL_ESTIMATE,Close variants overlap; do not sum.
ownership-core,engineering activity for preschool,Informational,20,13,1.44,3,Now,Semrush Keyword Overview bulk refresh,United States desktop,August 2026,2026-08-04,TOOL_ESTIMATE,Close variants overlap; do not sum.
ownership-core,engineering stem activities for preschool,Informational,20,14,0.00,2,Now,Semrush Keyword Overview bulk refresh,United States desktop,August 2026,2026-08-04,TOOL_ESTIMATE,Close variants overlap; do not sum.
ownership-core,stem engineering activities for preschoolers,Informational,20,17,0.00,3,Now,Semrush Keyword Overview bulk refresh,United States desktop,August 2026,2026-08-04,TOOL_ESTIMATE,Close variants overlap; do not sum.
constraint,simple engineering activities for preschoolers,Informational,n/a,26,n/a,2,Now,Semrush Keyword Overview bulk refresh,United States desktop,August 2026,2026-08-04,TOOL_ESTIMATE,Unavailable volume is not zero; close variants overlap.
constraint,easy engineering activities for preschoolers,Informational,n/a,23,n/a,3,Now,Semrush Keyword Overview bulk refresh,United States desktop,August 2026,2026-08-04,TOOL_ESTIMATE,Unavailable volume is not zero; close variants overlap.
constraint,engineering activities for preschoolers at home,Informational,n/a,20,n/a,2,Now,Semrush Keyword Overview bulk refresh,United States desktop,August 2026,2026-08-04,TOOL_ESTIMATE,Unavailable volume is not zero; close variants overlap.
age-boundary,engineering activities for 4 year olds,Informational,n/a,21,n/a,3,Now,Semrush Keyword Overview bulk refresh,United States desktop,August 2026,2026-08-04,TOOL_ESTIMATE,Unavailable volume is not zero; existing GSC page evidence remains separate.
age-boundary,engineering activities for 3 year olds,Informational,n/a,17,n/a,4,Now,Semrush Keyword Overview bulk refresh,United States desktop,August 2026,2026-08-04,TOOL_ESTIMATE,Unavailable volume is not zero; no age-three page is proposed.
age-boundary,engineering activities for kindergarten,Informational,50,16,0.50,3,Now,Semrush Keyword Overview bulk refresh,United States desktop,August 2026,2026-08-04,TOOL_ESTIMATE,Kindergarten is a boundary check; no page is proposed.
broad-boundary,engineering activities for kids,Informational,320,42,0.00,6,Now,Semrush Keyword Overview bulk refresh,United States desktop,August 2026,2026-08-04,TOOL_ESTIMATE,Broader age job; do not treat as preschool demand.
building-boundary,preschool building activities,Informational,110,4,4.42,5,Now,Semrush Keyword Overview bulk refresh,United States desktop,August 2026,2026-08-04,TOOL_ESTIMATE,Distinct construction and block-play SERP; do not merge demand.
building-boundary,building activities for preschoolers,Informational,390,4,0.95,6,Now,Semrush Keyword Overview bulk refresh,United States desktop,August 2026,2026-08-04,TOOL_ESTIMATE,Distinct construction and block-play SERP; do not merge demand.
building-boundary,building activities for 4 year olds,Informational;Commercial,20,14,0.00,4,Now,Semrush Keyword Overview bulk refresh,United States desktop,August 2026,2026-08-04,TOOL_ESTIMATE,Keep with the existing building page.
challenge,stem challenges for preschoolers,Informational;Commercial,20,15,0.00,3,Now,Semrush Keyword Overview bulk refresh,United States desktop,August 2026,2026-08-04,TOOL_ESTIMATE,Useful within-page route; close variants overlap.
challenge,easy stem challenges for preschoolers,Informational,n/a,25,n/a,4,Now,Semrush Keyword Overview bulk refresh,United States desktop,August 2026,2026-08-04,TOOL_ESTIMATE,Unavailable volume is not zero; useful within-page route.
stem-boundary,stem activities for preschoolers,Informational;Commercial,1300,29,0.66,6,Now,Semrush Keyword Overview bulk refresh,United States desktop,August 2026,2026-08-04,TOOL_ESTIMATE,Broad STEM job; do not merge into engineering.
stem-boundary,stem activities for 4 year olds,Informational;Commercial,30,6,0.88,5,Now,Semrush Keyword Overview bulk refresh,United States desktop,August 2026,2026-08-04,TOOL_ESTIMATE,Existing age-four STEM page owns this job.
process-project,engineering design process for preschoolers,Informational,20,18,0.00,4,Now,Semrush Keyword Overview bulk refresh,United States desktop,August 2026,2026-08-04,TOOL_ESTIMATE,Supportive explainer intent; not a separate page now.
process-project,preschool engineering projects,Informational,20,14,0.00,3,Now,Semrush Keyword Overview bulk refresh,United States desktop,August 2026,2026-08-04,TOOL_ESTIMATE,Close variants overlap; do not sum.
process-project,engineering projects for preschoolers,Informational,20,18,0.00,2,Now,Semrush Keyword Overview bulk refresh,United States desktop,August 2026,2026-08-04,TOOL_ESTIMATE,Close variants overlap; do not sum.
process-project,engineering challenges for preschoolers,Informational,0,6,0.00,3,Now,Semrush Keyword Overview bulk refresh,United States desktop,August 2026,2026-08-04,TOOL_ESTIMATE,Zero is a tool estimate and distinct from unavailable.
process-project,preschool stem engineering activities,Informational,n/a,22,n/a,5,Now,Semrush Keyword Overview bulk refresh,United States desktop,August 2026,2026-08-04,TOOL_ESTIMATE,Unavailable volume is not zero; close variants overlap.
