source_id,platform,source_url,embed_url,title,activity_title,materials,age,time,mess,adult_help,safety_note,kid_step_1,kid_step_2,kid_step_3,kid_step_4,tags,status
yt-cardboard-ramp-quick,YouTube,https://www.youtube.com/watch?v=78jYFo3Xsgg,https://www.youtube-nocookie.com/embed/78jYFo3Xsgg,Make a Quick Cardboard Ramp,Cardboard Car Ramp,"cardboard; books; toy cars",3-5,2 minutes,low,low,Keep ramp low. No stairs or climbing.,Stack some books.,Put cardboard on top.,Pick a car.,Let it roll.,"cardboard; toy cars; no-cut; 2-minute",adapted
yt-painter-tape-road,YouTube,https://www.youtube.com/shorts/UbCIuvjTe6c,https://www.youtube-nocookie.com/embed/UbCIuvjTe6c,DIY car road with painter's tape,Tape Road,"painter tape; marker; toy cars",3-5,3 minutes,low,low,Test tape on the floor first.,Make a road.,Add a parking spot.,Drive a car.,Change the road.,"tape; toy cars; no-cut; rainy-day",candidate
yt-cup-building-shorts,YouTube,https://www.youtube.com/shorts/OS4QpXf2d0Y,https://www.youtube-nocookie.com/embed/OS4QpXf2d0Y,Building with cups kids STEAM activity,Cup Tower,"paper cups",3-5,1 minute,low,low,Use lightweight cups only.,Stack cups.,Make it taller.,Knock it down.,Build again.,"cups; building; 2-minute; no-cut",candidate
yt-masking-tape-city,YouTube,https://www.youtube.com/watch?v=g6Sc9cOeD3A,https://www.youtube-nocookie.com/embed/g6Sc9cOeD3A,Build your Masking Tape City,Tape City,"masking tape; toy cars; blocks",3-5,5 minutes,low,low,Test tape before sticking it to floors.,Make roads.,Add buildings.,Drive cars.,Move the city.,"tape; toy cars; pretend-play",candidate
yt-cardboard-car-ramp,YouTube,https://www.youtube.com/watch?v=B9pKkJSaR-w,https://www.youtube-nocookie.com/embed/B9pKkJSaR-w,Cardboard car ramp DIY children's toys,Cardboard Ramp Upgrade,"cardboard; paper rolls; toy cars",4-6,10 minutes,medium,high,Adult handles cutting and any small parts.,Find cardboard.,Make a ramp.,Roll a car.,Try again.,"cardboard; toy cars; adult-help",review
yt-cup-tower,YouTube,https://www.youtube.com/watch?v=c2keEG_Y2C4,https://www.youtube-nocookie.com/embed/c2keEG_Y2C4,Cup Towers,Cup Towers,"paper cups",3-6,2 minutes,low,low,Use clean lightweight cups.,Stack cups.,Try a wall.,Try a tower.,Start over.,"cups; building; low-mess",candidate
yt-paper-plate-ramp,YouTube,https://www.youtube.com/watch?v=0zI-uHNMziU,https://www.youtube-nocookie.com/embed/0zI-uHNMziU,Paper Plate Ramp: Discovery at Home,Paper Plate Ramp,"paper plate; toy car; books",3-5,5 minutes,low,medium,Adult helps bend or tape the plate.,Make a slope.,Place a car.,Let it roll.,Change the ramp.,"ramp; toy cars; paper plate",candidate
yt-ramp-measure,YouTube,https://www.youtube.com/watch?v=TdYHKVBfQh8,https://www.youtube-nocookie.com/embed/TdYHKVBfQh8,Ramp Activity Measuring and Counting,Car Ramp Distance Test,"ramp; toy cars; tape",4-6,5 minutes,low,medium,Keep testing area clear.,Roll a car.,Mark where it stops.,Try another car.,See which went far.,"ramp; measuring; toy cars",candidate
yt-box-garage,YouTube,https://www.youtube.com/watch?v=DQ3svQFjNho,https://www.youtube-nocookie.com/embed/DQ3svQFjNho,How to Make an Upcycle DIY Toy Car Garage,Box Garage,"shoebox; toy cars",4-6,10 minutes,medium,high,Adult handles cutting.,Open the box.,Park the cars.,Make a door.,Drive out.,"box; toy cars; pretend-play",review
yt-train-tape,YouTube,https://www.youtube.com/watch?v=kDIYgjNRAUo,https://www.youtube-nocookie.com/embed/kDIYgjNRAUo,Train Tracks with Masking Tape,Tape Train Tracks,"masking tape; toy trains",3-5,5 minutes,low,low,Test tape on the floor first.,Make tracks.,Add a station.,Drive train.,Change tracks.,"tape; trains; no-cut",candidate
yt-painter-tape-3-activities,YouTube,https://www.youtube.com/shorts/4uSi0Nuu8qc,https://www.youtube-nocookie.com/embed/4uSi0Nuu8qc,3 Easy and Exciting Kids' Activities to do with Painter's Tape,Tape Play Ideas,"painter tape; toys",3-5,5 minutes,low,low,Tape can be a choking hazard if peeled and mouthed.,Pick a tape game.,Stick tape down.,Play gently.,Peel it up.,"tape; no-cut; low-mess",candidate
yt-household-activities,YouTube,https://www.youtube.com/shorts/mWK16S9uLKQ,https://www.youtube-nocookie.com/embed/mWK16S9uLKQ,10 Fun Ways to Play with Household Items,Household Play Picks,"household items",3-5,5 minutes,low,medium,Review each object for choking or sharp edges.,Pick one thing.,Make a game.,Try it.,Put it away.,"household; no-prep",review
yt-paper-towel-rolls-shorts,YouTube,https://www.youtube.com/shorts/7MKB08ZhooA,https://www.youtube-nocookie.com/embed/7MKB08ZhooA,Paper Towel & Toilet Paper Rolls activities,Paper Roll Play,"paper rolls; small toys",3-5,3 minutes,low,low,Use clean dry rolls.,Find a roll.,Drop a toy.,Make a tunnel.,Try again.,"paper rolls; cardboard; no-cut",candidate
yt-pom-pom-drop,YouTube,https://www.youtube.com/watch?v=xrpqCFTtixI,https://www.youtube-nocookie.com/embed/xrpqCFTtixI,Toddler activity Pompom drop,Pom Pom Drop,"cardboard tube; pom poms",3-5,3 minutes,low,medium,Pom poms can be choking hazards for younger children.,Tape a tube.,Drop pom poms.,Catch them.,Try colors.,"paper rolls; fine motor; low-mess",candidate
yt-paper-roll-drop,YouTube,https://www.youtube.com/watch?v=Nal4PutNDFU,https://www.youtube-nocookie.com/embed/Nal4PutNDFU,Paper Roll Drop,Paper Roll Drop,"paper roll; pom poms",3-5,2 minutes,low,medium,Avoid small items around younger siblings.,Tape the roll.,Hold a pom pom.,Drop it in.,Do it again.,"paper rolls; 2-minute; fine motor",candidate
yt-pom-pom-color-chutes,YouTube,https://www.youtube.com/watch?v=gqTMh0xKKIE,https://www.youtube-nocookie.com/embed/gqTMh0xKKIE,Pom Pom Color Sorting Chutes,Color Chutes,"paper tubes; pom poms; cups",4-6,8 minutes,low,high,Adult tapes tubes securely and watches small items.,Pick a color.,Drop a pom pom.,Match the cup.,Try another.,"paper rolls; sorting; colors",candidate
yt-marble-run-playdough,YouTube,https://www.youtube.com/watch?v=6jpU_M0PYaI,https://www.youtube-nocookie.com/embed/6jpU_M0PYaI,3 Easy Marble Run Ideas for Kids,Tube Ball Run,"cardboard tubes; playdough; large balls",4-6,10 minutes,medium,high,Marbles are choking hazards; use large balls for preschoolers.,Stick a tube.,Roll a ball.,Move the tube.,Try again.,"marble-run; paper rolls; STEM",review
yt-marble-run-lakeshore,YouTube,https://www.youtube.com/watch?v=UVEZcBWCqQc,https://www.youtube-nocookie.com/embed/UVEZcBWCqQc,Build a Marble Run,Marble Run,"cardboard; tubes; marbles",5-7,15 minutes,medium,high,Marbles are choking hazards and need direct supervision.,Build a path.,Roll a marble.,Fix the path.,Try again.,"marble-run; STEM; adult-help",review
yt-paper-towel-roll-ideas,YouTube,https://www.youtube.com/watch?v=5WAA0W9KbvQ,https://www.youtube-nocookie.com/embed/5WAA0W9KbvQ,Paper Towel Roll Play Ideas,Paper Towel Roll Ideas,"paper towel rolls; toys",3-5,5 minutes,low,low,Use clean rolls only.,Pick a roll.,Make a tunnel.,Roll a toy.,Change it.,"paper rolls; no-cut; low-mess",candidate
yt-paper-roll-activities,YouTube,https://www.youtube.com/watch?v=xSCpZ0E62gU,https://www.youtube-nocookie.com/embed/xSCpZ0E62gU,8 Awesome Paper Roll Activities and Crafts for Kids,Paper Roll Activity Set,"paper rolls; craft supplies",4-6,10 minutes,medium,high,Adult chooses only no-cut options first.,Pick one idea.,Find a roll.,Build or play.,Clean up.,"paper rolls; crafts; review-needed",review
yt-cardboard-tube-sculptures,YouTube,https://www.youtube.com/watch?v=ld2wrKWqy4k,https://www.youtube-nocookie.com/embed/ld2wrKWqy4k,Cardboard Tube Sculptures,Tube Sculpture,"cardboard tubes; tape",4-6,8 minutes,medium,medium,Adult helps if tubes need cutting.,Stack tubes.,Tape gently.,Make it taller.,Start over.,"paper rolls; building; art",candidate
yt-cardboard-tube-racers,YouTube,https://www.youtube.com/watch?v=GYyHxtJqmgo,https://www.youtube-nocookie.com/embed/GYyHxtJqmgo,How to make Cardboard Tube Racers,Tube Racer,"cardboard tube; wheels; craft supplies",5-7,20 minutes,medium,high,Too much adult construction for first catalog.,Pick tube.,Add wheels.,Decorate.,Race it.,"paper rolls; toy cars; adult-help",review
yt-magna-tiles-preschool,YouTube,https://www.youtube.com/watch?v=gcaNqLrVKqM,https://www.youtube-nocookie.com/embed/gcaNqLrVKqM,Easy Magna-Tiles Ideas for Preschoolers,Magnetic Tile Ideas,"magnetic tiles",3-5,2 minutes,low,low,Check tiles for cracks and exposed magnets.,Pick tiles.,Make a wall.,Add a roof.,Knock it down.,"magnetic tiles; low-mess; no-cut",candidate
yt-magna-tiles-three-builds,YouTube,https://www.youtube.com/watch?v=Of2KvwfVKq0,https://www.youtube-nocookie.com/embed/Of2KvwfVKq0,3 Simple Builds with MAGNA-TILES,Magnetic Tile House,"magnetic tiles",3-5,3 minutes,low,low,Do not use cracked tiles.,Make walls.,Add a roof.,Put a toy inside.,Open the door.,"magnetic tiles; building; quiet",candidate
