"family","keyword","collected_at","provider","location_code","language_code","search_partners","search_volume","volume_availability","ads_competition","ads_competition_index","organic_difficulty","volume_task_id"
"paper-helicopter","paper helicopter","2026-09-17T22:36:09.906Z","DataForSEO Google Ads","2840","en","false","2900","TOOL_ESTIMATE","LOW","1","UNKNOWN","09172236-2024-0367-0000-5ea72a1db418"
"paper-helicopter","paper helicopter experiment","2026-09-17T22:36:09.906Z","DataForSEO Google Ads","2840","en","false","90","TOOL_ESTIMATE","LOW","4","UNKNOWN","09172236-2024-0367-0000-5ea72a1db418"
"straw-rocket","straw rocket","2026-09-17T22:36:09.906Z","DataForSEO Google Ads","2840","en","false","2900","TOOL_ESTIMATE","LOW","3","UNKNOWN","09172236-2024-0367-0000-5ea72a1db418"
"straw-rocket","straw rocket for kids","2026-09-17T22:36:09.906Z","DataForSEO Google Ads","2840","en","false","","UNKNOWN","","","UNKNOWN","09172236-2024-0367-0000-5ea72a1db418"
"foil-boat","aluminum foil boat experiment","2026-09-17T22:36:09.906Z","DataForSEO Google Ads","2840","en","false","50","TOOL_ESTIMATE","LOW","0","UNKNOWN","09172236-2024-0367-0000-5ea72a1db418"
"foil-boat","foil boat challenge","2026-09-17T22:36:09.906Z","DataForSEO Google Ads","2840","en","false","110","TOOL_ESTIMATE","LOW","0","UNKNOWN","09172236-2024-0367-0000-5ea72a1db418"
"paper-spinner","paper spinner","2026-09-17T22:36:09.906Z","DataForSEO Google Ads","2840","en","false","720","TOOL_ESTIMATE","LOW","0","UNKNOWN","09172236-2024-0367-0000-5ea72a1db418"
"paper-spinner","paper spinner toy","2026-09-17T22:36:09.906Z","DataForSEO Google Ads","2840","en","false","70","TOOL_ESTIMATE","LOW","1","UNKNOWN","09172236-2024-0367-0000-5ea72a1db418"
"paper-chain","paper chain challenge","2026-09-17T22:36:09.906Z","DataForSEO Google Ads","2840","en","false","390","TOOL_ESTIMATE","LOW","2","UNKNOWN","09172236-2024-0367-0000-5ea72a1db418"
"paper-chain","longest paper chain challenge","2026-09-17T22:36:09.906Z","DataForSEO Google Ads","2840","en","false","70","TOOL_ESTIMATE","LOW","0","UNKNOWN","09172236-2024-0367-0000-5ea72a1db418"
"balloon-rocket","balloon rocket experiment","2026-09-17T22:36:09.906Z","DataForSEO Google Ads","2840","en","false","1000","TOOL_ESTIMATE","LOW","6","UNKNOWN","09172236-2024-0367-0000-5ea72a1db418"
"balloon-rocket","balloon rocket activity","2026-09-17T22:36:09.906Z","DataForSEO Google Ads","2840","en","false","40","TOOL_ESTIMATE","LOW","5","UNKNOWN","09172236-2024-0367-0000-5ea72a1db418"
