niche,query,intent,demand_estimate,competition_estimate,priority,confidence,notes
building-with-kids,cardboard box activities for 4 year olds,project,medium,medium,high,low,parent-tested angle
building-with-kids,cardboard box car ramp for preschoolers,project,medium,medium,high,low,good first page
building-with-kids,how to make a cardboard parking garage with kids,project,low,medium,medium,low,specific long tail
building-with-kids,cardboard tube marble run for 4 year old,project,medium,medium,high,low,needs safety notes
building-with-kids,easy cardboard projects for preschoolers,project list,medium,high,high,low,broad but useful hub
building-with-kids,no glue cardboard projects for kids,project list,low,medium,high,low,good constraint
building-with-kids,cardboard construction activities for preschoolers,project list,medium,medium,high,low,core angle
building-with-kids,build a cardboard house with a 4 year old,project,low,medium,medium,low,photo friendly
building-with-kids,cardboard robot craft for preschoolers no hot glue,project,medium,medium,medium,low,safety differentiator
building-with-kids,cardboard bridge challenge for preschoolers,stem challenge,medium,medium,high,low,good STEM intent
building-with-kids,cardboard city activity for preschoolers,project,low,medium,medium,low,repeatable photos
building-with-kids,cardboard ramp activities for toddlers,project,medium,medium,high,low,age clarify
building-with-kids,cardboard box pretend play ideas for 4 year olds,project list,medium,high,medium,low,crowded but useful
building-with-kids,cardboard tube building activities for preschoolers,project list,low,medium,medium,low,specific material
building-with-kids,cardboard projects for kids using tape only,project list,low,medium,high,low,clear differentiator
building-with-kids,lego challenges for 4 year olds,activity list,medium,medium,high,low,toy-specific
building-with-kids,easy lego activities for preschoolers,activity list,medium,high,high,low,broad hub
building-with-kids,lego building prompts for preschoolers,activity list,low,medium,medium,low,printable optional
building-with-kids,lego color sorting tower activity preschool,activity,low,medium,medium,low,skill pairing
building-with-kids,lego bridge challenge for preschoolers,stem challenge,medium,medium,high,low,good project
building-with-kids,lego activities for 3 and 4 year olds,activity list,medium,high,high,low,age fit
building-with-kids,duplo building ideas for 4 year olds,activity list,medium,medium,medium,low,variant toy
building-with-kids,lego car ramp activity for preschoolers,project,low,medium,medium,low,specific
building-with-kids,lego tower challenge for preschoolers,stem challenge,medium,medium,high,low,easy to test
building-with-kids,lego pattern activities for preschoolers,learning activity,medium,high,medium,low,education crossover
building-with-kids,magna tiles ideas for 4 year olds,activity list,medium,medium,high,low,strong parent query
building-with-kids,magna tiles activities for preschoolers,activity list,medium,medium,high,low,toy-specific
building-with-kids,magna tiles marble maze for preschoolers,project,low,medium,medium,low,needs supervision
building-with-kids,magna tiles challenges for 4 year olds,activity list,low,medium,medium,low,good format
building-with-kids,magna tiles road ideas for toddlers,activity,low,medium,medium,low,age adjust
building-with-kids,building activities for 4 year olds at home,activity list,medium,high,high,low,core hub
building-with-kids,things to build with preschoolers,activity list,medium,medium,high,low,core hub
building-with-kids,easy building projects for kids at home,activity list,medium,high,high,low,broad
building-with-kids,building activities for toddlers with household items,activity list,medium,medium,high,low,household wedge
building-with-kids,build a bridge for toy cars,stem challenge,medium,medium,high,low,strong page
building-with-kids,build a ramp for toy cars preschool,stem challenge,medium,medium,high,low,strong page
building-with-kids,paper cup tower challenge preschoolers,stem challenge,medium,medium,high,low,low-cost
building-with-kids,plastic cup building activities for preschoolers,activity list,low,medium,medium,low,specific material
building-with-kids,straw and tape bridge preschool,stem challenge,low,medium,medium,low,supervision note
building-with-kids,popsicle stick building activities preschoolers,activity list,medium,medium,medium,low,craft supplies
building-with-kids,clothespin building activities for preschoolers,activity list,low,medium,medium,low,cheap supplies
building-with-kids,masking tape road activity for toddlers,activity,medium,medium,high,low,apartment friendly
building-with-kids,recycling building projects for preschoolers,activity list,medium,medium,high,low,good angle
building-with-kids,build a boat that floats preschool activity,stem challenge,medium,high,medium,low,science overlap
building-with-kids,sink or float boat building for preschoolers,stem challenge,medium,medium,medium,low,common science
building-with-kids,build a fort with a 4 year old,project,medium,medium,medium,low,likely broad
building-with-kids,blanket fort ideas for preschoolers,project list,medium,medium,medium,low,seasonal rainy day
building-with-kids,indoor building activities for rainy days preschool,activity list,medium,medium,high,low,weather intent
building-with-kids,low mess building activities for preschoolers,activity list,medium,medium,high,low,strong parent filter
building-with-kids,no prep building activities for 4 year olds,activity list,medium,medium,high,low,strong parent filter
building-with-kids,10 minute building activities for preschoolers,activity list,medium,medium,high,low,time filter
building-with-kids,quiet building activities for preschoolers,activity list,low,medium,medium,low,parent pain point
building-with-kids,apartment friendly building activities for kids,activity list,low,medium,high,low,differentiated
building-with-kids,building activities for preschoolers without mess,activity list,medium,medium,high,low,strong filter
building-with-kids,cheap building activities for preschoolers,activity list,medium,medium,high,low,budget angle
building-with-kids,dollar tree building activities for kids,activity list,medium,medium,medium,low,budget angle
building-with-kids,building activities with paper and tape preschool,activity list,low,medium,medium,low,specific material
building-with-kids,stem building challenges for preschoolers,stem challenge list,medium,high,high,low,crowded but core
building-with-kids,easy engineering activities for preschoolers,stem challenge list,medium,high,medium,low,broad STEM
building-with-kids,preschool engineering activities with household items,stem challenge list,medium,medium,high,low,strong angle
building-with-kids,building challenges for 4 year olds,stem challenge list,medium,medium,high,low,core angle
building-with-kids,preschool tower building challenge,stem challenge,medium,medium,high,low,easy test
building-with-kids,bridge building activity for 4 year olds,stem challenge,medium,medium,high,low,easy test
building-with-kids,car ramp stem activity preschool,stem challenge,medium,medium,high,low,strong project
building-with-kids,marble run ideas for 4 year olds,project list,medium,medium,medium,low,safety notes
building-with-kids,preschool building activities that teach balance,learning activity,low,medium,medium,low,specific skill
building-with-kids,building activities for fine motor skills preschool,learning activity,medium,high,medium,low,education crossover
building-with-kids,construction play ideas for preschoolers,activity list,medium,medium,medium,low,core but broad
building-with-kids,open ended building activities for preschoolers,activity list,medium,medium,medium,low,philosophy angle
building-with-kids,safe building activities for 3 year olds,activity list,medium,medium,medium,low,safety angle
building-with-kids,building projects for kids without small parts,activity list,low,medium,high,low,safety differentiator
building-with-kids,supervised building activities for preschoolers,activity list,low,low,low,low,less searchy
building-with-kids,building activities for kids with cardboard and tape,activity list,medium,medium,high,low,excellent wedge
building-with-kids,preschool construction activities at home,activity list,medium,medium,high,low,core page
building-with-kids,easy cardboard and lego building activities preschool,activity list,low,medium,medium,low,mixed materials
jc-nyc-kids-activities,things to do with kids in Jersey City,local guide,high,medium,high,low,core local
jc-nyc-kids-activities,Jersey City activities for 4 year olds,local guide,medium,medium,high,low,age-specific
jc-nyc-kids-activities,Jersey City toddler activities indoors,local guide,medium,medium,high,low,weather
jc-nyc-kids-activities,rainy day kids activities Jersey City,local guide,medium,medium,high,low,strong parent need
jc-nyc-kids-activities,free things to do with kids Jersey City,local guide,medium,medium,high,low,budget
jc-nyc-kids-activities,cheap kids activities Jersey City,local guide,medium,medium,high,low,budget
jc-nyc-kids-activities,best playgrounds Jersey City toddlers,local guide,medium,medium,high,low,age plus place
jc-nyc-kids-activities,best playgrounds Jersey City 4 year old,local guide,low,medium,high,low,age-specific
jc-nyc-kids-activities,Jersey City playgrounds with shade,local guide,low,medium,medium,low,logistics gap
