cluster,query,intent,us_volume,kd_percent,cpc_usd,metric_age,source,database,metric_month,collected_on,evidence_class,notes
indoor,indoor activities for kids,Commercial,6600,21,0.78,5 days,Semrush Keyword Overview bulk report,United States desktop,August 2026,2026-08-04,TOOL_ESTIMATE,Broad retained SERP included local and venue results; close variants overlap.
indoor,indoor activities for preschoolers,Informational,390,18,0.23,1 month,Semrush Keyword Overview bulk report,United States desktop,August 2026,2026-08-04,TOOL_ESTIMATE,Existing KAL indoor page; close variants overlap.
indoor,indoor games for kids,Informational;Commercial,4400,20,0.00,5 days,Semrush Keyword Overview bulk report,United States desktop,August 2026,2026-08-04,TOOL_ESTIMATE,Games boundary; do not merge into activity demand.
indoor,indoor games for preschoolers,Informational,390,15,0.18,1 month,Semrush Keyword Overview bulk report,United States desktop,August 2026,2026-08-04,TOOL_ESTIMATE,Games boundary; do not merge into activity demand.
indoor,fun indoor activities for kids,Informational,1600,23,0.00,6 days,Semrush Keyword Overview bulk report,United States desktop,August 2026,2026-08-04,TOOL_ESTIMATE,Broad all-age boundary; close variants overlap.
indoor,indoor activities for toddlers,Commercial,1300,19,0.00,1 month,Semrush Keyword Overview bulk report,United States desktop,August 2026,2026-08-04,TOOL_ESTIMATE,Toddler boundary; no new page proposed.
indoor,indoor activities for 3 year olds,Informational,260,16,0.20,1 month,Semrush Keyword Overview bulk report,United States desktop,August 2026,2026-08-04,TOOL_ESTIMATE,Age route; no new page proposed.
indoor,indoor activities for 4 year olds,Informational,170,14,0.21,1 month,Semrush Keyword Overview bulk report,United States desktop,August 2026,2026-08-04,TOOL_ESTIMATE,Age route; no new page proposed.
indoor,indoor activities for 5 year olds,Informational,90,28,0.18,1 month,Semrush Keyword Overview bulk report,United States desktop,August 2026,2026-08-04,TOOL_ESTIMATE,Age route; no new page proposed.
indoor,screen free indoor activities for kids,n/a,n/a,n/a,n/a,refresh required,Semrush Keyword Overview bulk report,United States desktop,August 2026,2026-08-04,TOOL_ESTIMATE,All reported metrics unavailable; unavailable is not zero.
indoor,indoor activities for kids at home,Informational,170,19,0.00,6 days,Semrush Keyword Overview bulk report,United States desktop,August 2026,2026-08-04,TOOL_ESTIMATE,At-home route inside existing ownership.
indoor,easy indoor activities for kids,n/a,10,n/a,0.00,refresh required,Semrush Keyword Overview bulk report,United States desktop,August 2026,2026-08-04,TOOL_ESTIMATE,KD and intent unavailable; do not infer them.
rainy,rainy day activities for kids,Informational,60500,22,0.00,5 days,Semrush Keyword Overview bulk report,United States desktop,August 2026,2026-08-04,TOOL_ESTIMATE,Broad all-age and weather-context boundary; close variants overlap.
rainy,rainy day activities for preschoolers,Informational,170,28,0.16,1 month,Semrush Keyword Overview bulk report,United States desktop,August 2026,2026-08-04,TOOL_ESTIMATE,Existing KAL rainy-day page; close variants overlap.
rainy,rainy day activities for toddlers,Informational,720,15,0.00,1 month,Semrush Keyword Overview bulk report,United States desktop,August 2026,2026-08-04,TOOL_ESTIMATE,Toddler boundary; no new page proposed.
rainy,rainy day activities for kids at home,Informational,20,8,0.00,6 days,Semrush Keyword Overview bulk report,United States desktop,August 2026,2026-08-04,TOOL_ESTIMATE,At-home route inside rainy-day ownership.
rainy,rainy day games for kids,Informational,70,17,0.00,1 month,Semrush Keyword Overview bulk report,United States desktop,August 2026,2026-08-04,TOOL_ESTIMATE,Games boundary; no new page proposed.
rainy,rainy day activities at home,Informational,140,12,0.09,1 month,Semrush Keyword Overview bulk report,United States desktop,August 2026,2026-08-04,TOOL_ESTIMATE,Broad age boundary; close variants overlap.
rainy,indoor rainy day activities for kids,Informational,70,15,0.00,6 days,Semrush Keyword Overview bulk report,United States desktop,August 2026,2026-08-04,TOOL_ESTIMATE,Indoor/rainy bridge term; no new page proposed.
rainy,screen free rainy day activities for kids,n/a,n/a,n/a,n/a,refresh required,Semrush Keyword Overview bulk report,United States desktop,August 2026,2026-08-04,TOOL_ESTIMATE,All reported metrics unavailable; unavailable is not zero.
rainy,rainy day activities for 4 year olds,n/a,20,n/a,0.17,refresh required,Semrush Keyword Overview bulk report,United States desktop,August 2026,2026-08-04,TOOL_ESTIMATE,KD and intent unavailable; no age page proposed.
rainy,rainy day activities for 3 year olds,Informational,50,12,0.09,1 month,Semrush Keyword Overview bulk report,United States desktop,August 2026,2026-08-04,TOOL_ESTIMATE,Age route; no new page proposed.
building,building activities for preschoolers,Informational,390,4,0.95,7 hours,Semrush Keyword Overview bulk report,United States desktop,August 2026,2026-08-04,TOOL_ESTIMATE,Primary existing-page opportunity; close variants overlap.
building,preschool building activities,Informational,110,4,4.42,7 hours,Semrush Keyword Overview bulk report,United States desktop,August 2026,2026-08-04,TOOL_ESTIMATE,Strong retained recurrence with primary phrase; do not sum.
building,construction activities for preschoolers,Informational,320,10,1.19,1 month,Semrush Keyword Overview bulk report,United States desktop,August 2026,2026-08-04,TOOL_ESTIMATE,Observed SERP skews to classroom construction themes; not primary ownership.
building,building activities for kids,Informational;Commercial,260,12,0.00,5 days,Semrush Keyword Overview bulk report,United States desktop,August 2026,2026-08-04,TOOL_ESTIMATE,Broad age boundary; no new page proposed.
building,building activities for 4 year olds,Informational;Commercial,20,14,0.00,7 hours,Semrush Keyword Overview bulk report,United States desktop,August 2026,2026-08-04,TOOL_ESTIMATE,Current KAL target remains a visible route inside preschool ownership.
building,block activities for preschoolers,Informational,110,3,4.63,1 month,Semrush Keyword Overview bulk report,United States desktop,August 2026,2026-08-04,TOOL_ESTIMATE,Block-play route inside building ownership; close variants overlap.
building,preschool construction activities,Informational,70,8,4.27,1 month,Semrush Keyword Overview bulk report,United States desktop,August 2026,2026-08-04,TOOL_ESTIMATE,Classroom construction-theme boundary.
building,building STEM activities for preschoolers,n/a,n/a,n/a,n/a,refresh required,Semrush Keyword Overview bulk report,United States desktop,August 2026,2026-08-04,TOOL_ESTIMATE,All reported metrics unavailable; unavailable is not zero.
building,building challenges for kids,Informational,70,13,0.00,1 month,Semrush Keyword Overview bulk report,United States desktop,August 2026,2026-08-04,TOOL_ESTIMATE,Engineering/challenge boundary; no new page proposed.
building,building challenges for preschoolers,n/a,0,n/a,0.00,refresh required,Semrush Keyword Overview bulk report,United States desktop,August 2026,2026-08-04,TOOL_ESTIMATE,Zero volume estimate is distinct from unavailable KD and intent.
building,construction STEM activities for preschoolers,n/a,n/a,n/a,n/a,refresh required,Semrush Keyword Overview bulk report,United States desktop,August 2026,2026-08-04,TOOL_ESTIMATE,All reported metrics unavailable; unavailable is not zero.
building,block play activities,n/a,20,n/a,0.00,refresh required,Semrush Keyword Overview bulk report,United States desktop,August 2026,2026-08-04,TOOL_ESTIMATE,KD and intent unavailable; block-play route only.
boundary,no equipment games for kids,Informational,10,13,0.00,5 days,Semrush Keyword Overview bulk report,United States desktop,August 2026,2026-08-04,TOOL_ESTIMATE,Games constraint boundary; no new page proposed.
boundary,games to play at home with kids,Informational,210,18,0.00,5 days,Semrush Keyword Overview bulk report,United States desktop,August 2026,2026-08-04,TOOL_ESTIMATE,Existing games lane boundary; card-game chooser remains observation-only.
