group,query,intent,volume,kd,cpc_usd,updated,source,database,metric_period,collected_on,evidence_class
"umbrella","kids activities","Commercial","550000","47","0.00","Now","Semrush Keyword Overview bulk refresh","United States","July 2026","2026-07-29","TOOL_ESTIMATE"
"umbrella","activities for kids","Informational","9900","44","0.79","Now","Semrush Keyword Overview bulk refresh","United States","July 2026","2026-07-29","TOOL_ESTIMATE"
"umbrella","fun activities for kids","Commercial","6600","37","0.00","Now","Semrush Keyword Overview bulk refresh","United States","July 2026","2026-07-29","TOOL_ESTIMATE"
"umbrella","activity ideas for kids","Informational","30","29","0.00","Now","Semrush Keyword Overview bulk refresh","United States","July 2026","2026-07-29","TOOL_ESTIMATE"
"umbrella","things to do with kids","Informational","18100","21","0.78","Now","Semrush Keyword Overview bulk refresh","United States","July 2026","2026-07-29","TOOL_ESTIMATE"
"umbrella","fun things to do with kids","Informational","5400","15","0.83","Now","Semrush Keyword Overview bulk refresh","United States","July 2026","2026-07-29","TOOL_ESTIMATE"
"umbrella","kids activities near me","Transactional","40500","27","0.95","Now","Semrush Keyword Overview bulk refresh","United States","July 2026","2026-07-29","TOOL_ESTIMATE"
"umbrella","activities for preschoolers","Informational","2400","23","0.79","Now","Semrush Keyword Overview bulk refresh","United States","July 2026","2026-07-29","TOOL_ESTIMATE"
"umbrella","activities for 3 year olds","Informational","2400","19","0.54","Now","Semrush Keyword Overview bulk refresh","United States","July 2026","2026-07-29","TOOL_ESTIMATE"
"umbrella","activities for 4 year olds","Informational","1300","25","0.64","Now","Semrush Keyword Overview bulk refresh","United States","July 2026","2026-07-29","TOOL_ESTIMATE"
"umbrella","activities for 5 year olds","Informational","1000","9","0.59","Now","Semrush Keyword Overview bulk refresh","United States","July 2026","2026-07-29","TOOL_ESTIMATE"
"umbrella","activities for 6 year olds","Informational","480","35","0.65","Now","Semrush Keyword Overview bulk refresh","United States","July 2026","2026-07-29","TOOL_ESTIMATE"
"situation-constraint","indoor activities for kids","Commercial","6600","21","0.78","Now","Semrush Keyword Overview bulk refresh","United States","July 2026","2026-07-29","TOOL_ESTIMATE"
"situation-constraint","outdoor activities for kids","Commercial","2400","24","0.00","Now","Semrush Keyword Overview bulk refresh","United States","July 2026","2026-07-29","TOOL_ESTIMATE"
"situation-constraint","rainy day activities for kids","Informational","60500","22","0.00","Now","Semrush Keyword Overview bulk refresh","United States","July 2026","2026-07-29","TOOL_ESTIMATE"
"situation-constraint","activities for kids at home","Informational","590","23","0.00","Now","Semrush Keyword Overview bulk refresh","United States","July 2026","2026-07-29","TOOL_ESTIMATE"
"situation-constraint","after school activities for kids","Commercial","480","18","0.00","Now","Semrush Keyword Overview bulk refresh","United States","July 2026","2026-07-29","TOOL_ESTIMATE"
"situation-constraint","weekend activities for kids","Informational","390","47","0.00","Now","Semrush Keyword Overview bulk refresh","United States","July 2026","2026-07-29","TOOL_ESTIMATE"
"situation-constraint","screen free activities for kids","Informational","210","26","0.00","Now","Semrush Keyword Overview bulk refresh","United States","July 2026","2026-07-29","TOOL_ESTIMATE"
"situation-constraint","free activities for kids","Informational","260","18","0.00","Now","Semrush Keyword Overview bulk refresh","United States","July 2026","2026-07-29","TOOL_ESTIMATE"
"situation-constraint","no prep activities for kids","Informational","0","8","0.00","Now","Semrush Keyword Overview bulk refresh","United States","July 2026","2026-07-29","TOOL_ESTIMATE"
"situation-constraint","low prep activities for kids","Commercial","0","0","0.00","Now","Semrush Keyword Overview bulk refresh","United States","July 2026","2026-07-29","TOOL_ESTIMATE"
"situation-constraint","independent activities for kids","Informational","20","14","0.00","Now","Semrush Keyword Overview bulk refresh","United States","July 2026","2026-07-29","TOOL_ESTIMATE"
"situation-constraint","quick activities for kids","Informational","20","26","0.00","Now","Semrush Keyword Overview bulk refresh","United States","July 2026","2026-07-29","TOOL_ESTIMATE"
"games","games for kids","Informational;Commercial","40500","91","0.65","Now","Semrush Keyword Overview bulk refresh","United States","July 2026","2026-07-29","TOOL_ESTIMATE"
"games","fun games for kids","Informational","8100","74","0.00","Now","Semrush Keyword Overview bulk refresh","United States","July 2026","2026-07-29","TOOL_ESTIMATE"
"games","family games","Commercial","9900","10","0.28","Now","Semrush Keyword Overview bulk refresh","United States","July 2026","2026-07-29","TOOL_ESTIMATE"
"games","indoor games for kids","Informational;Commercial","4400","20","0.00","Now","Semrush Keyword Overview bulk refresh","United States","July 2026","2026-07-29","TOOL_ESTIMATE"
"games","outdoor games for kids","Informational;Commercial","6600","35","0.17","Now","Semrush Keyword Overview bulk refresh","United States","July 2026","2026-07-29","TOOL_ESTIMATE"
"games","games to play at home with kids","Informational","210","18","0.00","Now","Semrush Keyword Overview bulk refresh","United States","July 2026","2026-07-29","TOOL_ESTIMATE"
"games","no equipment games for kids","Informational","10","13","0.00","Now","Semrush Keyword Overview bulk refresh","United States","July 2026","2026-07-29","TOOL_ESTIMATE"
"games","movement games for kids","Informational","50","8","0.00","Now","Semrush Keyword Overview bulk refresh","United States","July 2026","2026-07-29","TOOL_ESTIMATE"
"games","cooperative games for kids","Informational","110","35","0.00","Now","Semrush Keyword Overview bulk refresh","United States","July 2026","2026-07-29","TOOL_ESTIMATE"
"games","card games for kids","Informational","4400","14","0.12","Now","Semrush Keyword Overview bulk refresh","United States","July 2026","2026-07-29","TOOL_ESTIMATE"
"games","board games for kids","Informational;Commercial","8100","21","0.21","Now","Semrush Keyword Overview bulk refresh","United States","July 2026","2026-07-29","TOOL_ESTIMATE"
"games","games for preschoolers","Informational","1600","23","1.20","Now","Semrush Keyword Overview bulk refresh","United States","July 2026","2026-07-29","TOOL_ESTIMATE"
"arts-crafts","crafts for kids","Informational","14800","48","0.27","Now","Semrush Keyword Overview bulk refresh","United States","July 2026","2026-07-29","TOOL_ESTIMATE"
"arts-crafts","arts and crafts for kids","Informational;Commercial","12100","43","0.36","Now","Semrush Keyword Overview bulk refresh","United States","July 2026","2026-07-29","TOOL_ESTIMATE"
"arts-crafts","art activities for kids","Informational","1600","33","0.00","Now","Semrush Keyword Overview bulk refresh","United States","July 2026","2026-07-29","TOOL_ESTIMATE"
"arts-crafts","easy crafts for kids","Informational","5400","40","0.20","Now","Semrush Keyword Overview bulk refresh","United States","July 2026","2026-07-29","TOOL_ESTIMATE"
"arts-crafts","preschool crafts","Informational","1900","30","0.28","Now","Semrush Keyword Overview bulk refresh","United States","July 2026","2026-07-29","TOOL_ESTIMATE"
"arts-crafts","crafts for 3 year olds","Informational","1600","30","0.28","Now","Semrush Keyword Overview bulk refresh","United States","July 2026","2026-07-29","TOOL_ESTIMATE"
"arts-crafts","crafts for 4 year olds","Informational;Commercial","1000","33","0.22","Now","Semrush Keyword Overview bulk refresh","United States","July 2026","2026-07-29","TOOL_ESTIMATE"
"arts-crafts","crafts for 5 year olds","Informational","720","30","0.21","Now","Semrush Keyword Overview bulk refresh","United States","July 2026","2026-07-29","TOOL_ESTIMATE"
"arts-crafts","drawing activities for kids","Informational","260","18","0.00","Now","Semrush Keyword Overview bulk refresh","United States","July 2026","2026-07-29","TOOL_ESTIMATE"
"arts-crafts","painting activities for kids","Informational","260","8","0.00","Now","Semrush Keyword Overview bulk refresh","United States","July 2026","2026-07-29","TOOL_ESTIMATE"
"arts-crafts","recycled crafts for kids","Informational","70","18","0.00","Now","Semrush Keyword Overview bulk refresh","United States","July 2026","2026-07-29","TOOL_ESTIMATE"
"arts-crafts","paper crafts for kids","Informational","2900","31","0.00","Now","Semrush Keyword Overview bulk refresh","United States","July 2026","2026-07-29","TOOL_ESTIMATE"
"science-building","science experiments for kids","Informational","14800","46","0.25","Now","Semrush Keyword Overview bulk refresh","United States","July 2026","2026-07-29","TOOL_ESTIMATE"
"science-building","science activities for kids","Informational","1000","47","0.00","Now","Semrush Keyword Overview bulk refresh","United States","July 2026","2026-07-29","TOOL_ESTIMATE"
"science-building","stem activities for kids","Informational","2900","41","0.00","Now","Semrush Keyword Overview bulk refresh","United States","July 2026","2026-07-29","TOOL_ESTIMATE"
"science-building","engineering activities for kids","Informational","320","26","0.00","Now","Semrush Keyword Overview bulk refresh","United States","July 2026","2026-07-29","TOOL_ESTIMATE"
"science-building","building activities for kids","Informational;Commercial","260","12","0.00","Now","Semrush Keyword Overview bulk refresh","United States","July 2026","2026-07-29","TOOL_ESTIMATE"
"science-building","construction activities for kids","Informational","50","16","0.00","Now","Semrush Keyword Overview bulk refresh","United States","July 2026","2026-07-29","TOOL_ESTIMATE"
