slug,title,age,materials,time,mess,adult_help,collection_1,collection_2,step_1,step_2,step_3,step_4,parent_check
cardboard-car-ramp,Cardboard Car Ramp,3-5,"cardboard; books; toy cars",2 minutes,low,low,no-cut,2-minute,"Stack some books.","Put cardboard on top.","Pick a car.","Let it roll.","Keep the ramp low. No stairs or climbing."
masking-tape-road,Tape Road,3-5,"painter tape; toy cars",3 minutes,low,low,no-cut,rainy-day,"Make a road.","Add a parking spot.","Drive a car.","Change the road.","Test tape on the floor first."
cup-tower,Cup Tower,3-5,"paper cups",1 minute,low,low,no-cut,2-minute,"Stack cups up.","Make it taller.","Knock it down.","Build again.","Use lightweight cups only."
box-garage,Box Garage,3-5,"small box; toy cars",2 minutes,low,low,no-cut,pretend-play,"Open the box.","Park the cars.","Make a door.","Drive out.","Adult handles any cutting."
sock-ball-roll,Sock Ball Roll,3-5,"rolled socks; books",2 minutes,low,low,no-cut,indoor,"Roll a sock.","Make a tunnel.","Try again.","Move the books.","Use soft socks only."
block-bridge,Block Bridge,4-5,"blocks; toy car",3 minutes,low,medium,no-cut,building,"Make two towers.","Put one block across.","Drive under it.","Make it stronger.","Keep towers low."
paper-air-road,Paper Road,3-5,"paper; toy cars",2 minutes,low,low,no-cut,quiet,"Lay paper down.","Make turns.","Add cars.","Change the map.","Avoid slippery floors."
magnetic-tile-house,Tile House,3-5,"magnetic tiles; toy animal",3 minutes,low,low,building,quiet,"Make walls.","Add a roof.","Put animal inside.","Open the door.","Check cracked tiles."
cardboard-tunnel,Cardboard Tunnel,3-5,"cardboard; toy cars",2 minutes,low,low,no-cut,pretend-play,"Fold cardboard.","Make a tunnel.","Drive through.","Move it around.","Keep tunnel low and wide."
book-ramp,Book Ramp,3-5,"large book; toy car",1 minute,low,low,2-minute,no-cut,"Open a big book.","Lean it gently.","Roll a car.","Try another car.","Use a sturdy book."
paper-cup-garage,Cup Garage,3-5,"paper cups; toy cars",2 minutes,low,low,pretend-play,quiet,"Turn cups over.","Park cars beside them.","Make roads.","Move garages.","Use clean dry cups."
box-drum-pattern,Box Tap Pattern,3-5,"cardboard box; hands",1 minute,low,low,2-minute,music,"Tap the box.","Tap slow.","Tap fast.","Make a pattern.","Stop if it gets too loud."
laundry-basket-tunnel,Basket Tunnel,3-5,"laundry basket; toy cars",2 minutes,low,medium,pretend-play,indoor,"Tip basket sideways.","Drive car in.","Drive car out.","Add a road.","Adult checks basket is stable."
pillow-mountain,Pillow Mountain,3-5,"pillows; toy animals",2 minutes,low,medium,pretend-play,indoor,"Stack pillows low.","Put animal on top.","Make a path.","Move the mountain.","No jumping or climbing."
spoon-balance,Spoon Balance,4-5,"spoon; small block",2 minutes,low,medium,science,quiet,"Hold spoon flat.","Put block on it.","Walk slowly.","Try again.","Use large non-choking items."
paper-bridge,Paper Bridge,4-5,"paper; two books; toy car",3 minutes,low,medium,building,science,"Put books apart.","Lay paper across.","Try the car.","Fold paper stronger.","Keep books low."
button-sort-road,Color Parking,3-5,"colored blocks; toy cars",3 minutes,low,low,quiet,sorting,"Pick a color.","Park matching cars.","Make a line.","Change colors.","Avoid tiny pieces."
blanket-river,Blanket River,3-5,"blanket; blocks",2 minutes,low,medium,pretend-play,indoor,"Lay blanket down.","Build a bridge.","Cross the river.","Move the bridge.","No running on blanket."
sticky-note-signs,Road Signs,4-5,"sticky notes; marker; toy cars",3 minutes,low,medium,pretend-play,quiet,"Draw a stop sign.","Stick it near road.","Drive and stop.","Make another sign.","Adult helps with marker caps."
recycle-robot,Box Robot,4-5,"small boxes; tape",5 minutes,medium,high,cardboard,pretend-play,"Pick boxes.","Stack body.","Add arms.","Name robot.","Adult helps tape and checks stability."

