url,page_type,primary_keyword,related_keywords,evidence,index_status,first_2_month_impression_expectation
/ages/activities-for-3-year-olds-at-home.html,age,activities for 3 year olds at home,games for 3 year olds at home; fun activities for 3 year olds at home; indoor activities for 3 year olds at home,Google autocomplete variant observed 2026-06-26; SERP has broad roundup competitors.,index,20-150 if indexed; higher only if Google trusts the new domain quickly.
/ages/activities-for-4-year-olds-at-home.html,age,activities for 4 year olds at home,games for 4 year olds at home; educational activities for 4 year olds at home; indoor activities for 4 year olds at home,Google autocomplete variant observed 2026-06-26; SERP has broad roundup competitors.,index,20-150 if indexed; higher only if Google trusts the new domain quickly.
/ages/activities-for-5-year-olds-at-home.html,age,activities for 5 year olds at home,games for 5 year olds at home; educational activities for 5 year olds at home; fun activities for 5 year olds at home,Google autocomplete variant observed 2026-06-26; SERP has broad roundup competitors.,index,20-150 if indexed; higher only if Google trusts the new domain quickly.
/ages/activities-for-6-year-olds-at-home.html,age,activities for 6 year olds at home,games for 6 year olds at home; educational activities for 6 year olds at home; homeschool activities for 6 year olds,Google autocomplete variant observed 2026-06-26; SERP has broad roundup competitors.,index,20-150 if indexed; higher only if Google trusts the new domain quickly.
/collections/no-prep-activities-for-preschoolers.html,collection,no prep activities for preschoolers,easy no prep activities for kids; no prep activities for toddlers; no prep activities for kids,Google autocomplete variant observed 2026-06-26; SERP has broad roundup competitors.,index,20-150 if indexed; higher only if Google trusts the new domain quickly.
/collections/indoor-activities-for-preschoolers.html,collection,indoor activities for preschoolers,indoor activities for 3 year olds at home; indoor activities for 4 year olds at home; screen free activities for kids indoors,Google autocomplete variant observed 2026-06-26; SERP has broad roundup competitors.,index,20-150 if indexed; higher only if Google trusts the new domain quickly.
/collections/independent-activities-for-preschoolers.html,collection,independent activities for preschoolers,independent work for preschoolers; independent art activities for preschoolers; independent learning activities for preschoolers,Google autocomplete variant observed 2026-06-26; SERP has broad roundup competitors.,index,20-150 if indexed; higher only if Google trusts the new domain quickly.
/collections/fine-motor-activities-for-preschoolers.html,collection,fine motor activities for preschoolers,fine motor activities for preschoolers at home; fine motor activities for preschoolers pdf; fine motor activities for preschoolers printables,Google autocomplete variant observed 2026-06-26; SERP has broad roundup competitors.,index,20-150 if indexed; higher only if Google trusts the new domain quickly.
/collections/stem-activities-for-preschoolers.html,collection,stem activities for preschoolers,engineering activities for preschoolers; science activities for preschoolers; stem projects for preschoolers,Google autocomplete variant observed 2026-06-26; SERP has broad roundup competitors.,index,20-150 if indexed; higher only if Google trusts the new domain quickly.
/ages/stem-activities-for-4-year-olds.html,age,stem activities for 4 year olds,easy stem activities for 4 year olds; stem activities for 4 year olds at home; science activities for 4 year olds,Google autocomplete variant observed 2026-06-26; SERP has broad roundup competitors.,index,20-150 if indexed; higher only if Google trusts the new domain quickly.
/collections/engineering-activities-for-4-year-olds.html,collection,engineering activities for preschoolers,preschool engineering activities; engineering activities for 4 year olds; stem engineering activities for preschoolers,Google autocomplete variant observed 2026-06-26; SERP has broad roundup competitors.,index,20-150 if indexed; higher only if Google trusts the new domain quickly.
/collections/science-experiments-for-4-year-olds.html,collection,science experiments for 4 year olds,easy science experiments for 4 year olds; science activities for 4 year olds at home; preschool science experiments,Google autocomplete variant observed 2026-06-26; SERP has broad roundup competitors.,index,20-150 if indexed; higher only if Google trusts the new domain quickly.
/collections/math-activities-for-4-year-olds-at-home.html,collection,math activities for 4 year olds at home,easy math activities for 4 year olds; preschool math activities at home; hands on math activities for preschoolers,Google autocomplete variant observed 2026-06-26; SERP has broad roundup competitors.,index,20-150 if indexed; higher only if Google trusts the new domain quickly.
/collections/no-prep-stem-activities-for-4-year-olds.html,collection,no prep stem activities for 4 year olds,easy stem activities for kids; no prep stem activities preschool; quick stem activities for preschoolers,Google autocomplete variant observed 2026-06-26; SERP has broad roundup competitors.,index,20-150 if indexed; higher only if Google trusts the new domain quickly.
/collections/building-activities-for-4-year-olds.html,collection,building activities for 4 year olds,preschool building activities; construction activities for preschoolers; building stem activities for preschoolers,Google autocomplete variant observed 2026-06-26; SERP has broad roundup competitors.,index,20-150 if indexed; higher only if Google trusts the new domain quickly.
/collections/rainy-day-activities-for-preschoolers.html,collection,rainy day activities for preschoolers,rainy day activities for kids at home; rainy day activities for toddlers; indoor activities for preschoolers,Google autocomplete variant observed 2026-06-26; SERP has broad roundup competitors.,index,20-150 if indexed; higher only if Google trusts the new domain quickly.
/collections/card-games-for-kids.html,collection,card games for kids,family card games; easy card games for kids; card games for kids with a deck of cards; 2 player card games for kids,"KAL-RES-004 refreshed 12 Semrush US queries on 2026-07-31, sampled 8 limited SERPs, and inspected 25 ranking/rules pages; one chooser owns the broad informational job.",index,UNKNOWN; new cluster with no KAL GSC baseline.
