source_set,theme,source_seed,query,intent,us_volume,kd_percent,cpc_usd,updated,source,database,metric_month,collected_on,evidence_class
core,at-home,,"things to do with kids at home",Informational,320,27,0.00,Now,Semrush Keyword Overview bulk refresh,United States,July 2026,2026-07-29,TOOL_ESTIMATE
core,at-home,,"activities for kids at home",Informational,590,23,0.00,Now,Semrush Keyword Overview bulk refresh,United States,July 2026,2026-07-29,TOOL_ESTIMATE
core,at-home,,"fun activities for kids at home",Informational,390,32,0.00,Now,Semrush Keyword Overview bulk refresh,United States,July 2026,2026-07-29,TOOL_ESTIMATE
core,at-home,,"indoor activities for kids",Commercial,6600,23,0.78,Now,Semrush Keyword Overview bulk refresh,United States,July 2026,2026-07-29,TOOL_ESTIMATE
core,at-home,,"indoor activities for kids at home",Informational,170,19,0.00,Now,Semrush Keyword Overview bulk refresh,United States,July 2026,2026-07-29,TOOL_ESTIMATE
core,at-home,,"home activities for kids",Informational,210,30,0.00,Now,Semrush Keyword Overview bulk refresh,United States,July 2026,2026-07-29,TOOL_ESTIMATE
core,at-home,,"family activities at home",Informational,320,27,0.29,Now,Semrush Keyword Overview bulk refresh,United States,July 2026,2026-07-29,TOOL_ESTIMATE
core,at-home,,"things to do at home with family",Informational,70,24,0.18,Now,Semrush Keyword Overview bulk refresh,United States,July 2026,2026-07-29,TOOL_ESTIMATE
core,at-home,,"activities to do with kids",Informational,1300,33,0.00,Now,Semrush Keyword Overview bulk refresh,United States,July 2026,2026-07-29,TOOL_ESTIMATE
core,at-home,,"things to do with kids indoors",Commercial,70,14,0.00,Now,Semrush Keyword Overview bulk refresh,United States,July 2026,2026-07-29,TOOL_ESTIMATE
core,constraint-occasion,,"rainy day activities for kids",Informational,60500,22,0.00,Now,Semrush Keyword Overview bulk refresh,United States,July 2026,2026-07-29,TOOL_ESTIMATE
core,constraint-occasion,,"screen free activities for kids",Informational,210,22,0.00,Now,Semrush Keyword Overview bulk refresh,United States,July 2026,2026-07-29,TOOL_ESTIMATE
core,constraint-occasion,,"no prep activities for kids",Informational,0,8,0.00,Now,Semrush Keyword Overview bulk refresh,United States,July 2026,2026-07-29,TOOL_ESTIMATE
core,constraint-occasion,,"low prep activities for kids",Commercial,0,0,0.00,Now,Semrush Keyword Overview bulk refresh,United States,July 2026,2026-07-29,TOOL_ESTIMATE
core,constraint-occasion,,"low mess activities for kids",Informational,n/a,25,n/a,Now,Semrush Keyword Overview bulk refresh,United States,July 2026,2026-07-29,TOOL_ESTIMATE
core,constraint-occasion,,"quiet activities for kids",Informational,210,16,0.00,Now,Semrush Keyword Overview bulk refresh,United States,July 2026,2026-07-29,TOOL_ESTIMATE
core,constraint-occasion,,"independent activities for kids",Informational,20,14,0.00,Now,Semrush Keyword Overview bulk refresh,United States,July 2026,2026-07-29,TOOL_ESTIMATE
core,constraint-occasion,,"after school activities for kids",Commercial,480,19,0.00,Now,Semrush Keyword Overview bulk refresh,United States,July 2026,2026-07-29,TOOL_ESTIMATE
core,constraint-occasion,,"weekend activities for kids at home",Informational,0,22,0.00,Now,Semrush Keyword Overview bulk refresh,United States,July 2026,2026-07-29,TOOL_ESTIMATE
core,constraint-occasion,,"bored kids activities at home",Informational,n/a,26,n/a,Now,Semrush Keyword Overview bulk refresh,United States,July 2026,2026-07-29,TOOL_ESTIMATE
core,games-at-home,,"games to play with kids at home",Informational,170,18,0.00,Now,Semrush Keyword Overview bulk refresh,United States,July 2026,2026-07-29,TOOL_ESTIMATE
core,games-at-home,,"family games to play at home",Informational,1000,22,0.29,Now,Semrush Keyword Overview bulk refresh,United States,July 2026,2026-07-29,TOOL_ESTIMATE
core,games-at-home,,"indoor games for kids",Informational;Commercial,4400,20,0.00,Now,Semrush Keyword Overview bulk refresh,United States,July 2026,2026-07-29,TOOL_ESTIMATE
core,games-at-home,,"games for kids at home",Informational,320,21,0.00,Now,Semrush Keyword Overview bulk refresh,United States,July 2026,2026-07-29,TOOL_ESTIMATE
core,games-at-home,,"games to play with family",Informational;Commercial,2400,38,0.51,Now,Semrush Keyword Overview bulk refresh,United States,July 2026,2026-07-29,TOOL_ESTIMATE
core,games-at-home,,"family game night ideas",Informational,1600,26,0.30,Now,Semrush Keyword Overview bulk refresh,United States,July 2026,2026-07-29,TOOL_ESTIMATE
core,games-at-home,,"games for siblings to play",Informational,20,5,0.00,Now,Semrush Keyword Overview bulk refresh,United States,July 2026,2026-07-29,TOOL_ESTIMATE
core,games-at-home,,"games to play without screens",Informational,20,26,0.00,Now,Semrush Keyword Overview bulk refresh,United States,July 2026,2026-07-29,TOOL_ESTIMATE
