cluster,query,intent,us_volume,kd,cpc,metric_age,source,market,database,collection_date,evidence_class,notes
boundary_broad,rainy day activities for kids,Informational,60500,25,0.00,Now,Semrush Keyword Overview bulk,US desktop,August 2026,2026-08-04,TOOL_ESTIMATE,"All-age weather context; do not treat as preschool-owner demand or add to close variants."
boundary_broad,indoor activities for kids,Informational,6600,22,0.78,Now,Semrush Keyword Overview bulk,US desktop,August 2026,2026-08-04,TOOL_ESTIMATE,"Broad all-age query; current SERP mixes at-home lists with local and venue results."
rainy_context,rainy day activities for toddlers,Informational,720,17,0.00,Now,Semrush Keyword Overview bulk,US desktop,August 2026,2026-08-04,TOOL_ESTIMATE,"Adjacent younger-age route; not evidence that preschool needs a separate owner."
at_home_learning_boundary,preschool activities at home,Informational,480,21,0.87,Now,Semrush Keyword Overview bulk,US desktop,August 2026,2026-08-04,TOOL_ESTIMATE,"Current SERP leans learning and curriculum; keep outside the indoor moment owner."
indoor_owner,indoor activities for preschoolers,Informational,390,25,0.23,Now,Semrush Keyword Overview bulk,US desktop,August 2026,2026-08-04,TOOL_ESTIMATE,"Primary existing indoor-page job."
active_movement_games,indoor games for preschoolers,Informational,390,17,0.18,Now,Semrush Keyword Overview bulk,US desktop,August 2026,2026-08-04,TOOL_ESTIMATE,"Distinct active and often group or classroom result mix; candidate module within indoor."
indoor_owner,indoor activities for 3 year olds,Informational,260,6,0.20,Now,Semrush Keyword Overview bulk,US desktop,August 2026,2026-08-04,TOOL_ESTIMATE,"Age route within a preschool owner; readiness remains individual."
active_movement_games,indoor gross motor activities for preschoolers,Informational,260,12,0.26,Now,Semrush Keyword Overview bulk,US desktop,August 2026,2026-08-04,TOOL_ESTIMATE,"Movement subjob with greater space and safety-boundary requirements."
indoor_owner,indoor activities for 4 year olds,Informational,170,15,0.21,Now,Semrush Keyword Overview bulk,US desktop,August 2026,2026-08-04,TOOL_ESTIMATE,"Age route within a preschool owner."
indoor_owner,indoor activities for kids at home,Informational,170,27,0.00,Now,Semrush Keyword Overview bulk,US desktop,August 2026,2026-08-04,TOOL_ESTIMATE,"At-home constraint on broad indoor intent."
rainy_context,rainy day activities for preschoolers,Informational,170,31,0.16,Now,Semrush Keyword Overview bulk,US desktop,August 2026,2026-08-04,TOOL_ESTIMATE,"Current rainy URL primary; cached SERP visibly recurs with preschool indoor results."
rainy_context,rainy day activities at home,Informational,140,15,0.09,Now,Semrush Keyword Overview bulk,US desktop,August 2026,2026-08-04,TOOL_ESTIMATE,"Weather plus at-home context; age is broad."
active_movement_games,active indoor games for preschoolers,Informational,110,14,0.30,Now,Semrush Keyword Overview bulk,US desktop,August 2026,2026-08-04,TOOL_ESTIMATE,"Active-game module candidate; close variants overlap."
active_movement_games,active indoor games for kids,Informational,90,26,0.00,Now,Semrush Keyword Overview bulk,US desktop,August 2026,2026-08-04,TOOL_ESTIMATE,"Broad active-game boundary."
indoor_owner,indoor activities for 5 year olds,Informational,90,8,0.18,Now,Semrush Keyword Overview bulk,US desktop,August 2026,2026-08-04,TOOL_ESTIMATE,"Age route within a preschool owner."
rainy_context,indoor rainy day activities for kids,Informational,70,18,0.00,Now,Semrush Keyword Overview bulk,US desktop,August 2026,2026-08-04,TOOL_ESTIMATE,"Explicitly blends rainy and indoor intent; age is broad."
